<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.05.06	1.55658	1.55976	1.55206	1.55393	28460	0	1
2013.05.07	1.55395	1.55518	1.54469	1.54811	35262	0	1
2013.05.08	1.54811	1.55911	1.54703	1.55407	39078	0	1
2013.05.09	1.55407	1.55875	1.54256	1.54473	44877	0	1
2013.05.10	1.54473	1.54571	1.53139	1.53579	49176	0	1
2013.05.13	1.53552	1.53845	1.52776	1.53021	44058	0	1
2013.05.14	1.53024	1.53306	1.52063	1.52179	48531	0	1
2013.05.15	1.52189	1.52727	1.51737	1.52252	51324	0	1
2013.05.16	1.52247	1.53223	1.51977	1.52735	50457	0	1
2013.05.17	1.52737	1.52810	1.51580	1.51666	45860	0	1
2013.05.20	1.51860	1.52807	1.51656	1.52575	41223	0	1
2013.05.21	1.52576	1.52761	1.51124	1.51500	47395	0	1
2013.05.22	1.51504	1.51732	1.50196	1.50428	58799	0	1
2013.05.23	1.50428	1.51281	1.50138	1.51082	66485	0	1
2013.05.24	1.51078	1.51421	1.50636	1.51195	57522	0	5
2013.05.27	1.51295	1.51558	1.50868	1.51105	29640	0	5
2013.05.28	1.51098	1.51345	1.50268	1.50351	60463	0	5
2013.05.29	1.50352	1.51455	1.50081	1.51279	65888	0	5
2013.05.30	1.51272	1.52370	1.51102	1.52328	68759	0	5
2013.05.31	1.52328	1.52393	1.51400	1.51938	67341	0	5
2013.06.03	1.51975	1.53748	1.51919	1.53179	60893	0	5
2013.06.04	1.53180	1.53425	1.52732	1.53150	61118	0	5
2013.06.05	1.53150	1.54084	1.52917	1.54058	67876	0	5
2013.06.06	1.54043	1.56833	1.53811	1.55994	63420	0	8
2013.06.07	1.55993	1.56171	1.54881	1.55552	67708	0	8
2013.06.10	1.55159	1.55854	1.54947	1.55715	52282	0	8
2013.06.11	1.55713	1.56526	1.55207	1.56445	63840	0	8
2013.06.12	1.56447	1.56995	1.56330	1.56786	52755	0	8
2013.06.13	1.56786	1.57360	1.56442	1.57189	59335	0	8
2013.06.14	1.57185	1.57188	1.56160	1.57008	59487	0	5
2013.06.17	1.57109	1.57510	1.56804	1.57172	48931	0	5
2013.06.18	1.57174	1.57219	1.55650	1.56392	55409	0	5
2013.06.19	1.56395	1.56769	1.54495	1.54875	59168	0	5
2013.06.20	1.54875	1.55164	1.54144	1.55036	79351	0	5
2013.06.21	1.55041	1.55302	1.53680	1.54144	66917	0	5
2013.06.24	1.53939	1.54652	1.53435	1.54359	64686	0	5
2013.06.25	1.54353	1.54771	1.53972	1.54237	60379	0	5
2013.06.26	1.54237	1.54401	1.52975	1.53138	59506	0	5
2013.06.27	1.53137	1.53455	1.52016	1.52584	48551	0	8
2013.06.28	1.52583	1.52784	1.51654	1.52112	49330	0	8
2013.07.01	1.52068	1.52483	1.51832	1.52163	49411	0	5
2013.07.02	1.52162	1.52377	1.51361	1.51528	51995	0	5
2013.07.03	1.51527	1.53042	1.51297	1.52789	55696	0	5
2013.07.04	1.52788	1.52828	1.50557	1.50714	53896	0	5
2013.07.05	1.50717	1.50778	1.48595	1.48827	65057	0	5
2013.07.08	1.48777	1.49656	1.48581	1.49484	50385	0	5
2013.07.09	1.49481	1.49804	1.48133	1.48649	60762	0	5
2013.07.10	1.48655	1.50665	1.48447	1.50622	65867	0	5
2013.07.11	1.50621	1.52219	1.50338	1.51832	83057	0	5
2013.07.12	1.51821	1.51886	1.50757	1.51036	52691	0	1
2013.07.15	1.51083	1.51262	1.50274	1.50999	46505	0	1
2013.07.16	1.51001	1.51685	1.50445	1.51470	57077	0	1
2013.07.17	1.51468	1.52673	1.50787	1.52132	59174	0	1
2013.07.18	1.52133	1.52419	1.51576	1.52278	52108	0	1
2013.07.19	1.52278	1.52816	1.51962	1.52590	46556	0	1
2013.07.22	1.52611	1.53839	1.52574	1.53563	43400	0	1
2013.07.23	1.53565	1.53915	1.53259	1.53725	44858	0	1
2013.07.24	1.53728	1.53897	1.52890	1.53151	48179	0	1
2013.07.25	1.53166	1.54351	1.52634	1.53822	53822	0	1
2013.07.26	1.53822	1.54161	1.53557	1.53779	44579	0	1
2013.07.29	1.53839	1.54134	1.53286	1.53408	42702	0	1
2013.07.30	1.53408	1.53535	1.52233	1.52373	46538	0	1
2013.07.31	1.52374	1.52534	1.51257	1.51975	57561	0	1
2013.08.01	1.52037	1.52424	1.51099	1.51176	55767	0	1
2013.08.02	1.51176	1.53087	1.51024	1.52863	53168	0	1
2013.08.05	1.52828	1.53783	1.52588	1.53542	46378	0	1
2013.08.06	1.53542	1.53915	1.53315	1.53486	45978	0	1
2013.08.07	1.53493	1.55308	1.52048	1.54882	59721	0	1
2013.08.08	1.54886	1.55740	1.54847	1.55366	47387	0	1
2013.08.09	1.55364	1.55584	1.54966	1.54966	38388	0	1
2013.08.12	1.55027	1.55222	1.54566	1.54612	38355	0	1
2013.08.13	1.54612	1.55118	1.54269	1.54464	46826	0	1
2013.08.14	1.54473	1.55467	1.54220	1.55028	46782	0	1
2013.08.15	1.55028	1.56517	1.55018	1.56434	59538	0	1
2013.08.16	1.56434	1.56564	1.56073	1.56223	44614	0	1
2013.08.19	1.56296	1.56731	1.56091	1.56467	42495	0	1
2013.08.20	1.56469	1.56955	1.56284	1.56621	45605	0	1
2013.08.21	1.56629	1.57170	1.56373	1.56560	49697	0	1
2013.08.22	1.56560	1.56594	1.55626	1.55840	47540	0	1
2013.08.23	1.55840	1.56372	1.55385	1.55662	44324	0	1
2013.08.26	1.55752	1.56117	1.55563	1.55777	28322	0	1
2013.08.27	1.55782	1.55922	1.54815	1.55432	45210	0	1
2013.08.28	1.55436	1.55524	1.54280	1.55250	46768	0	1
2013.08.29	1.55254	1.55480	1.54823	1.55011	41880	0	1
2013.08.30	1.55015	1.55276	1.54629	1.54912	39160	0	1
2013.09.02	1.55180	1.55931	1.55054	1.55461	35055	0	1
2013.09.03	1.55462	1.56026	1.55220	1.55581	39536	0	1
2013.09.04	1.55591	1.56471	1.55556	1.56228	36149	0	1
2013.09.05	1.56229	1.56668	1.55728	1.55873	37253	0	1
2013.09.06	1.55879	1.56808	1.55630	1.56266	32118	0	1
2013.09.09	1.56275	1.57321	1.56258	1.56935	31848	0	1
2013.09.10	1.56933	1.57439	1.56853	1.57312	32898	0	1
2013.09.11	1.57312	1.58287	1.57184	1.58228	37254	0	1
2013.09.12	1.58226	1.58391	1.57763	1.58067	36945	0	1
